0000 (none - silence)    XXXX
0001 Mischievous Robot   WANPAKU     Egg Corridor
0002 Safety              ANZEN       Various homes
0003 (no title)          GAMEOVER    Game over
0004 Gravity             GRAVITY     Boss battle
0005 On To Grasstown     WEED        Grasstown
0006 Meltdown 2          MDOWN2      Sand Zone
0007 Eyes of Flame       FIREEYE     Major boss battle
0008 Gestation           VIVI        First Cave, various small rooms
0009 Mimiga Town         MURA        Mimiga Village
0010 (no title)          FANFALE1    Get item
0011 Balrog's Theme      GINSUKE     Balrog cutscenes
0012 Cemetery            CEMETERY    Graveyard
0013 Plant               PLANT       Yamashita Farm
0014 Pulse               KODOU       Egg No. 00, Waterway Cabin, Arthur's House after Waterway
0015 (no title)          FANFALE3    Boss defeated
0016 (no title)          FANFALE2    Get life capsule
0017 Tyrant              DR          Doctor cutscenes
0018 Run!                ESCAPE      Balcony areas after boss fights
0019 Jenka 1             JENKA       Jenka's House, Labyrinth I & H (first two areas)
0020 Labyrinth Fight     MAZE        Labyrinth M (gaudi eggs)
0021 Access              ACCESS      Shelter (Kazuma on computer)
0022 Oppression          IRONH       Core battle
0023 Geothermal          GRAND       Dark Place, Core, [Main Artery?]
0024 Cave Story          CURLY       Title screen, Plantation
0025 Moonsong            OSIDE       Outer Wall
0026 Hero's End          REQUIEM     Bad ending
0027 Scorching Back      WANPAK2     Egg Corridor?
0028 Quiet               QUIET       Mimiga Village and homes after Waterway
0029 Last Cave           LASTCAVE    Last Cave
0030 Balcony             BALCONY     Balcony
0031 Charge              LASTBTL     Muscle Doctor battle
0032 Last Battle         LASTBTL3    Final battles
0033 The Way Back Home   ENDING      Credits
0034 Zombie              ZONBIE      Before Undead Core battle, after Ballos battle
0035 Break Down          BDOWN       Ending
0036 Running Hell        HELL        Sacred Grounds
0037 Jenka 2             JENKA2      Labyrinth W (main area w/shop, camp)
0038 Living Waterway     MARINE      Waterway
0039 Seal Chamber        BALLOS      Before Ballos battle
0040 Toroko's Theme      TOROKO      Title Screen - Toroko
0041 White Stone Wall    WHITE       Title Screen - King
